"";"ASV";"membership"
"94";"ASV0348";9
"95";"ASV0351";23
"96";"ASV0352";4
"97";"ASV0357";4
"98";"ASV0366";6
"99";"ASV0371";1
"100";"ASV0382";3
"101";"ASV0383";4
"102";"ASV0386";7
"103";"ASV0387";1
"104";"ASV0395";3
"105";"ASV0397";3
"106";"ASV0403";1
"107";"ASV0405";3
"108";"ASV0411";2
"109";"ASV0413";6
"110";"ASV0423";4
"111";"ASV0427";6
"112";"ASV0434";1
"113";"ASV0436";7
"114";"ASV0440";1
"115";"ASV0442";28
"116";"ASV0444";7
"117";"ASV0445";23
"118";"ASV0451";7
"119";"ASV0452";2
"120";"ASV0460";2
"121";"ASV0462";11
"122";"ASV0468";23
"123";"ASV0469";36
"124";"ASV0477";1
"125";"ASV0507";4
"126";"ASV0510";1
"127";"ASV0514";2
"128";"ASV0528";1
"129";"ASV0536";6
"130";"ASV0556";1
"131";"ASV0559";28
"132";"ASV0561";1
"133";"ASV0599";2
"134";"ASV0612";4
"135";"ASV0624";3
"136";"ASV0631";1
"137";"ASV0636";4
"138";"ASV0637";4
"139";"ASV0641";9
"140";"ASV0646";6
"141";"ASV0648";2
"142";"ASV0662";11
"143";"ASV0677";1
"144";"ASV0682";2
"145";"ASV0688";40
"146";"ASV0691";2
"147";"ASV0701";1
"148";"ASV0711";1
"149";"ASV0719";2
"150";"ASV0729";1
"151";"ASV0731";2
"152";"ASV0741";1
"153";"ASV0742";1
"154";"ASV0744";1
"155";"ASV0748";2
"156";"ASV0765";28
"157";"ASV0775";17
"158";"ASV0776";4
"159";"ASV0784";2
"160";"ASV0785";9
"161";"ASV0790";8
"162";"ASV0792";2
"163";"ASV0799";15
"164";"ASV0815";36
"165";"ASV0828";2
"166";"ASV0834";9
"167";"ASV0838";4
"168";"ASV0840";15
"169";"ASV0848";4
"170";"ASV0865";15
"171";"ASV0867";3
"172";"ASV0868";4
"173";"ASV0869";1
"174";"ASV0881";4
"175";"ASV0882";4
"176";"ASV0884";2
"177";"ASV0895";1
"178";"ASV0919";2
"179";"ASV0925";2
"180";"ASV0927";4
"181";"ASV0929";11
"182";"ASV0932";2
"183";"ASV0939";15
"184";"ASV0940";15
"185";"ASV0951";4
"186";"ASV0962";8
"187";"ASV0965";1
"188";"ASV0986";11
"189";"ASV0993";1
"190";"ASV0998";6
"191";"ASV1015";1
"192";"ASV1044";8
"193";"ASV1045";6
"194";"ASV1047";3
"195";"ASV1054";5
"196";"ASV1070";1
"197";"ASV1071";4
"198";"ASV1072";6
"199";"ASV1079";3
"200";"ASV1087";2
"201";"ASV1103";18
"202";"ASV1112";15
"203";"ASV1119";3
"204";"ASV1120";3
"205";"ASV1134";4
"206";"ASV1138";2
"207";"ASV1139";18
"208";"ASV1160";2
"209";"ASV1162";2
"210";"ASV1170";31
"211";"ASV1189";4
"212";"ASV1191";17
"213";"ASV1195";1
"214";"ASV1207";1
"215";"ASV1212";33
"216";"ASV1214";1
"217";"ASV1219";4
"218";"ASV1228";34
"219";"ASV1229";2
"220";"ASV1244";4
"221";"ASV1250";6
"222";"ASV1255";2
"223";"ASV1256";3
"224";"ASV1257";15
"225";"ASV1272";7
"226";"ASV1276";38
"227";"ASV1281";1
"228";"ASV1283";2
"229";"ASV1287";2
"230";"ASV1293";8
"231";"ASV1302";12
"232";"ASV1303";6
"233";"ASV1315";8
"234";"ASV1325";4
"235";"ASV1335";17
"236";"ASV1339";2
"237";"ASV1349";1
"238";"ASV1351";24
"239";"ASV1354";4
"240";"ASV1358";1
"241";"ASV1363";4
"242";"ASV1371";4
"243";"ASV1389";15
"244";"ASV1392";4
"245";"ASV1403";31
"246";"ASV1404";4
"247";"ASV1411";40
"248";"ASV1412";32
"249";"ASV1419";2
"250";"ASV1421";4
"251";"ASV1430";2
"252";"ASV1436";6
"253";"ASV1448";8
"254";"ASV1468";37
"255";"ASV1473";1
"256";"ASV1474";2
"257";"ASV1475";4
"258";"ASV1480";4
"259";"ASV1506";17
"260";"ASV1508";1
"261";"ASV1517";27
"262";"ASV1519";4
"263";"ASV1532";1
"264";"ASV1533";8
"265";"ASV1552";1
"266";"ASV1573";4
"267";"ASV1581";4
"268";"ASV1588";2
"269";"ASV1593";3
"270";"ASV1595";20
"271";"ASV1606";1
"272";"ASV1609";8
"273";"ASV1610";8
"274";"ASV1614";2
"275";"ASV1619";26
"276";"ASV1642";29
"277";"ASV1649";1
"278";"ASV1655";6
"279";"ASV1656";2
"280";"ASV1662";2
"281";"ASV1666";4
"282";"ASV1680";5
"283";"ASV1685";4
"284";"ASV1721";1
"285";"ASV1738";6
"286";"ASV1742";41
"287";"ASV1748";5
"288";"ASV1761";2
"289";"ASV1763";19
"290";"ASV1773";7
"291";"ASV1783";4
"292";"ASV1787";2
"293";"ASV1791";2
"294";"ASV1795";29
"295";"ASV1808";7
"296";"ASV1811";4
"297";"ASV1827";8
"298";"ASV1846";1
"299";"ASV1857";1
"300";"ASV1859";1
"301";"ASV1874";26
"302";"ASV1892";5
"303";"ASV1895";4
"304";"ASV1898";4
"305";"ASV1906";2
"306";"ASV1909";4
"307";"ASV1922";1
"308";"ASV1933";26
"309";"ASV1934";38
"310";"ASV1937";4
"311";"ASV1955";19
"312";"ASV1984";4
"313";"ASV1990";4
"314";"ASV1998";5
"315";"ASV2001";1
"316";"ASV2043";4
"317";"ASV2055";15
"318";"ASV2065";4
"319";"ASV2066";4
"320";"ASV2067";2
"321";"ASV2080";37
"322";"ASV2097";4
"323";"ASV2106";2
"324";"ASV2108";2
"325";"ASV2109";4
"326";"ASV2122";4
"327";"ASV2128";2
"328";"ASV2131";18
"329";"ASV2137";6
"330";"ASV2142";18
"331";"ASV2153";2
"332";"ASV2160";4
"333";"ASV2174";4
"334";"ASV2194";4
"335";"ASV2196";35
"336";"ASV2208";3
"337";"ASV2210";20
"338";"ASV2245";34
"339";"ASV2249";20
"340";"ASV2283";1
"341";"ASV2287";4
"342";"ASV2288";1
"343";"ASV2297";4
"344";"ASV2317";24
"345";"ASV2318";4
"346";"ASV2319";4
"347";"ASV2337";6
"348";"ASV2338";2
"349";"ASV2352";2
"350";"ASV2354";4
"351";"ASV2367";2
"352";"ASV2412";2
"353";"ASV2413";4
"354";"ASV2434";19
"355";"ASV2435";12
"356";"ASV2446";33
"357";"ASV2450";6
"358";"ASV2464";6
"359";"ASV2465";10
"360";"ASV2505";2
"361";"ASV2508";4
"362";"ASV2529";4
"363";"ASV2530";5
"364";"ASV2548";2
"365";"ASV2555";2
"366";"ASV2556";6
"367";"ASV2568";4
"368";"ASV2572";4
"369";"ASV2590";2
"370";"ASV2591";2
"371";"ASV2592";1
"372";"ASV2595";4
"373";"ASV2615";1
"374";"ASV2635";4
"375";"ASV2651";29
"376";"ASV2670";3
"377";"ASV2685";2
"378";"ASV2690";4
"379";"ASV2695";35
"380";"ASV2705";11
"381";"ASV2731";8
"382";"ASV2755";13
"383";"ASV2759";19
"384";"ASV2777";2
"385";"ASV2779";2
"386";"ASV2785";4
"387";"ASV2803";2
"388";"ASV2805";2
"389";"ASV2854";2
"390";"ASV2856";2
"391";"ASV2872";1
"392";"ASV2901";4
"393";"ASV2929";6
"394";"ASV2931";10
"395";"ASV2933";3
"396";"ASV2937";2
"397";"ASV2969";4
"398";"ASV3045";10
"399";"ASV3046";1
"400";"ASV3072";2
"401";"ASV3073";10
"402";"ASV3099";6
"403";"ASV3104";2
"404";"ASV3140";6
"405";"ASV3142";10
"406";"ASV3148";4
"407";"ASV3172";27
"408";"ASV3178";2
"409";"ASV3246";2
"410";"ASV3247";4
"411";"ASV3249";4
"412";"ASV3297";22
"413";"ASV3300";22
"414";"ASV3302";15
"415";"ASV3307";13
"416";"ASV3309";2
"417";"ASV3310";2
"418";"ASV3340";2
"419";"ASV3344";1
"420";"ASV3345";2
"421";"ASV3347";2
"422";"ASV3349";13
"423";"ASV3378";22
"424";"ASV3381";2
"425";"ASV3411";2
"426";"ASV3413";2
"427";"ASV3416";4
"428";"ASV3417";2
"429";"ASV3457";2
"430";"ASV3458";2
"431";"ASV3459";4
"432";"ASV3460";4
"433";"ASV3495";2
"434";"ASV3525";5
"435";"ASV3528";5
"436";"ASV3529";2
"437";"ASV3530";2
"438";"ASV3532";4
"439";"ASV3565";5
"440";"ASV3568";5
"441";"ASV3606";4
"442";"ASV3609";4
"443";"ASV3643";2
"444";"ASV3644";5
"445";"ASV3646";4
"446";"ASV3650";1
"447";"ASV3658";30
"448";"ASV3699";6
"449";"ASV3701";10
"450";"ASV3702";24
"451";"ASV3703";3
"452";"ASV3705";5
"453";"ASV3707";2
"454";"ASV3708";2
"455";"ASV3711";2
"456";"ASV3751";6
"457";"ASV3752";5
"458";"ASV3755";13
"459";"ASV3814";2
"460";"ASV3851";10
"461";"ASV3854";5
"462";"ASV3858";5
"463";"ASV3861";2
"464";"ASV3862";4
"465";"ASV3863";4
"466";"ASV3904";6
"467";"ASV3907";4
"468";"ASV3911";2
"469";"ASV3918";5
"470";"ASV3920";4
"471";"ASV3923";4
"472";"ASV3926";12
"473";"ASV3929";2
"474";"ASV3978";10
"475";"ASV3982";15
"476";"ASV3983";4
"477";"ASV4049";2
"478";"ASV4052";5
"479";"ASV4056";15
"480";"ASV4114";5
"481";"ASV4115";4
"482";"ASV4117";4
"483";"ASV4122";1
"484";"ASV4123";1
"485";"ASV4171";2
"486";"ASV4175";5
"487";"ASV4179";4
"488";"ASV4180";12
"489";"ASV4181";2
"490";"ASV4250";27
"491";"ASV4256";2
"492";"ASV4261";4
"493";"ASV4332";2
"494";"ASV4337";5
"495";"ASV4344";5
"496";"ASV4348";6
"497";"ASV4350";2
"498";"ASV4351";2
"499";"ASV4425";10
"500";"ASV4444";4
"501";"ASV4518";6
"502";"ASV4524";30
"503";"ASV4531";2
"504";"ASV4607";4
"505";"ASV4611";6
"506";"ASV4617";2
"507";"ASV4693";2
"508";"ASV4698";5
"509";"ASV4700";5
"510";"ASV4703";2
"511";"ASV4705";4
"512";"ASV4706";4
"513";"ASV4707";4
"514";"ASV4710";2
"515";"ASV4715";4
"516";"ASV4790";10
"517";"ASV4793";10
"518";"ASV4797";2
"519";"ASV4800";4
"520";"ASV4808";4
"521";"ASV4812";2
"522";"ASV4923";5
"523";"ASV4927";6
"524";"ASV4934";4
"525";"ASV4937";4
"526";"ASV4939";4
"527";"ASV5043";6
"528";"ASV5045";10
"529";"ASV5053";5
"530";"ASV5057";5
"531";"ASV5058";5
"532";"ASV5065";4
"533";"ASV5179";5
"534";"ASV5186";5
"535";"ASV5193";6
"536";"ASV5194";2
"537";"ASV5196";4
"538";"ASV5325";5
"539";"ASV5460";2
"540";"ASV5463";4
"541";"ASV5467";2
"542";"ASV5468";2
"543";"ASV5469";2
"544";"ASV5470";2
"545";"ASV5471";4
"546";"ASV5472";4
"547";"ASV5479";4
"548";"ASV5620";6
"549";"ASV5644";2
"550";"ASV5646";4
"551";"ASV5648";4
"552";"ASV5649";1
"553";"ASV5651";4
"554";"ASV5653";1
"555";"ASV5793";5
"556";"ASV5794";5
"557";"ASV5799";4
"558";"ASV5801";4
"559";"ASV5802";4
"560";"ASV5804";4
"561";"ASV5806";4
"562";"ASV5808";2
"563";"ASV5812";4
"564";"ASV5973";5
"565";"ASV5986";5
"566";"ASV5992";2
"567";"ASV5995";2
"568";"ASV5996";4
"569";"ASV5998";4
"570";"ASV5999";4
"571";"ASV6004";1
"572";"ASV6007";2
"573";"ASV6013";1
